指標,値
総ダイレクトメッセージ数,1473件
1人あたり平均送信数,23.76件（中央値：5.50件）
マッチ後に会話が発生した割合,69.03%
マッチ後の平均メッセージ交換回数,13.24回/ペア

詳細
マッチペア数,155ペア
会話が発生したペア数,107ペア
総メッセージ交換数,1417回
