指標,値
総マッチ件数,804件
1日あたり平均マッチ件数,13.63件/日
全体マッチ率（マッチ数/送信数）,2.50%
1人あたり平均マッチ回数,15.17回（中央値：6.00回）
1人あたり最大マッチ回数,223回
初回マッチ,276件（34.33%）
リピートマッチ（同じペアの2回目以降）,528件（65.67%）

詳細
総送信数,32125件
マッチしたユーザー数,106人
ユニークなペア数,276ペア
