表6.8 ユーザー層の分類と分布
ユーザー層,定義,人数,割合
ヘビーユーザー,毎週5種以上送信した週が3週以上,11人,8.6%
ミドルユーザー,毎週3-4種以上送信した週が2週以上,23人,18.0%
ライトユーザー,毎週1-2種以上送信した週が1週以上,65人,50.8%
観察層,送信ほぼなし、ログイン継続,2人,1.6%
離脱層,ログインもほぼなし,27人,21.1%

表6.9 ユーザー層別の行動特性
指標,ヘビー,ミドル,ライト,観察層,離脱層
平均メッセージ種類数/週,11.05,3.42,0.78,0,0
平均マッチ回数/週,9.86,2.43,0.40,0.00,0.00
平均ログイン回数/週,38.05,10.97,3.23,2.33,0.09
平均アクティブ日数/週,6.00,3.75,1.40,1.05,0.09
