指標,値
全ユーザー数,128
全フォロー数,3298
相互フォローペア数,716
相互フォロー関係数,1432
一方向フォロー数,1866
全ユーザーペア数,8128
相互フォロー率（全ユーザー中）,8.8091%
フォローしているユーザー数,124
相互フォローしているユーザー数,121
相互フォロー率（フォローしているユーザー中）,97.58%
相互フォローの割合（全フォロー中）,43.42%
一方向フォローの割合（全フォロー中）,56.58%
